sl_no,date,Name,Product_name,price
131,17-Mar-2018,DEOLI,GOWAR  - ग्वार , 2675.00 / QUINTA
132,17-Mar-2018,DEOLI,JOWAR WHITE  - सफेद ज्वार , 1251.00 / QUINTA
133,17-Mar-2018,DEOLI,MAIZE RED  - लाल मक्का , 1113.00 / QUINTA
134,17-Mar-2018,DEOLI,MASUR  - मसूर , 2784.00 / QUINTA
135,17-Mar-2018,DEOLI,MOONG (LOCAL)  - मूंग (स्थानीय) , 3402.00 / QUINTA
136,17-Mar-2018,DEOLI,MUSTARD (LAHA)  - सरसों (laha) , 3026.00 / QUINTA
137,17-Mar-2018,DEOLI,SOYABEAN YELLOW  - पीला सोयाबीन , 2193.00 / QUINTA
138,17-Mar-2018,DEOLI,URAD (LOCAL)  - उड़द (स्थानीय) , 2688.00 / QUINTA
139,17-Mar-2018,DEOLI,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1350.00 / QUINTA
140,17-Mar-2018,DHOLPUR,BAJRA SMALL  - छोटे बाजरा , 907.00 / QUINTA
141,17-Mar-2018,DUNGARGARH,GOWAR  - ग्वार , 2889.00 / QUINTA
142,17-Mar-2018,DUNGARGARH,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 3268.00 / QUINTA
143,17-Mar-2018,DUNGARGARH,MOTH  - मोठ , 2731.00 / QUINTA
144,17-Mar-2018,GAJSINGHPUR,GOWAR  - ग्वार , 2899.00 / QUINTA
145,17-Mar-2018,GAJSINGHPUR,GRAM  - चना , 4221.00 / QUINTA
146,17-Mar-2018,GAJSINGHPUR,KAPAS AMERICAN  - अमेरिकन कपास , 3769.00 / QUINTA
147,17-Mar-2018,GAJSINGHPUR,KAPAS DESHI  - कपास देशी , 5418.00 / QUINTA
148,17-Mar-2018,GAJSINGHPUR,MOONG (LOCAL)  - मूंग (स्थानीय) , 3571.00 / QUINTA
149,17-Mar-2018,GAJSINGHPUR,MUSTARD (LAHA)  - सरसों (laha) , 3002.00 / QUINTA
150,17-Mar-2018,GAJSINGHPUR,WHEAT 1482  - गेहूं 1482 , 1352.00 / QUINTA
151,17-Mar-2018,GANGAPUR,JOWAR WHITE  - सफेद ज्वार , 1100.00 / QUINTA
152,17-Mar-2018,GANGAPUR,KAPAS AMERICAN  - अमेरिकन कपास , 3743.00 / QUINTA
153,17-Mar-2018,GANGAPUR,MAIZE RED  - लाल मक्का , 1032.00 / QUINTA
154,17-Mar-2018,GANGAPUR,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1402.00 / QUINTA
,,,,
155,17-Mar-2018,GHARSANA,GOWAR  - ग्वार , 2888.00 / QUINTA
156,17-Mar-2018,GHARSANA,GRAM  - चना , 4185.00 / QUINTA
157,17-Mar-2018,GHARSANA,KAPAS AMERICAN  - अमेरिकन कपास , 3915.00 / QUINTA
158,17-Mar-2018,GHARSANA,KAPAS DESHI  - कपास देशी , 4559.00 / QUINTA
159,17-Mar-2018,GHARSANA,MOONG (LOCAL)  - मूंग (स्थानीय) , 3698.00 / QUINTA
160,17-Mar-2018,GHARSANA,MUSTARD (LAHA)  - सरसों (laha) , 2881.00 / QUINTA
,,,,
161,17-Mar-2018,GHARSANA,WHEAT 1482  - गेहूं 1482 , 1459.00 / QUINTA
162,17-Mar-2018,GOLUWALA,GOWAR  - ग्वार , 3115.00 / QUINTA
163,17-Mar-2018,GOLUWALA,GRAM  - चना , 3976.00 / QUINTA
164,17-Mar-2018,GOLUWALA,KAPAS AMERICAN  - अमेरिकन कपास , 4199.00 / QUINTA
165,17-Mar-2018,GOLUWALA,MOONG (LOCAL)  - मूंग (स्थानीय) , 3828.00 / QUINTA
166,17-Mar-2018,GOLUWALA,MUSTARD (LAHA)  - सरसों (laha) , 3166.00 / QUINTA
167,17-Mar-2018,HANUMANGARH,GOWAR  - ग्वार , 3109.00 / QUINTA
168,17-Mar-2018,HANUMANGARH,GRAM  - चना , 3864.00 / QUINTA
169,17-Mar-2018,HANUMANGARH,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 2919.00 / QUINTA
170,17-Mar-2018,HANUMANGARH,KAPAS AMERICAN  - अमेरिकन कपास , 4042.00 / QUINTA
171,17-Mar-2018,HANUMANGARH,KAPAS DESHI  - कपास देशी , 2469.00 / QUINTA
172,17-Mar-2018,HANUMANGARH,MOONG (LOCAL)  - मूंग (स्थानीय) , 3403.00 / QUINTA
173,17-Mar-2018,HANUMANGARH,PADDY (LOCAL)  - धान (स्थानीय) , 2390.00 / QUINTA
174,17-Mar-2018,HANUMANGARH,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1463.00 / QUINTA
175,17-Mar-2018,IKLERA,DHANIA BOLD  - धनिया बोल्ड , 3444.00 / QUINTA
176,17-Mar-2018,IKLERA,MAIZE WHITE  - सफेद मक्का , 930.00 / QUINTA
177,17-Mar-2018,IKLERA,MUSTARD (LAHA)  - सरसों (laha) , 2915.00 / QUINTA
178,17-Mar-2018,IKLERA,SOYABEAN YELLOW  - पीला सोयाबीन , 2195.00 / QUINTA
179,17-Mar-2018,IKLERA,URAD (LOCAL)  - उड़द (स्थानीय) , 2306.00 / QUINTA
180,17-Mar-2018,IKLERA,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1291.00 / QUINTA
181,17-Mar-2018,JAIPUR (F & V),APPLE  - सेब , 6665.00 / QUINTA
182,17-Mar-2018,JAIPUR (F & V),BANANA  - केला , 1710.00 / QUINTA
183,17-Mar-2018,JAIPUR (F & V),BOTTLE GOURD  - लौकी , 1376.00 / QUINTA
184,17-Mar-2018,JAIPUR (F & V),BRINJAL  - बैंगन , 1333.00 / QUINTA
185,17-Mar-2018,JAIPUR (F & V),CABBAGE  - गोभी , 1440.00 / QUINTA
186,17-Mar-2018,JAIPUR (F & V),CAPSICUM  - शिमला मिर्च , 3613.00 / QUINTA
,,,,
187,17-Mar-2018,JAIPUR (F & V),CAULI FLOWER  - गोभी , 1150.00 / QUINTA
188,17-Mar-2018,JAIPUR (F & V),CORIANDER(LV)  - धनिया (LV) , 2893.00 / QUINTA
189,17-Mar-2018,JAIPUR (F & V),CUCUMBER  - खीरा , 1575.00 / QUINTA
190,17-Mar-2018,JAIPUR (F & V),GARLIC  - लहसुन , 2310.00 / QUINTA
191,17-Mar-2018,JAIPUR (F & V),GINGER  - अदरक , 2168.00 / QUINTA
192,17-Mar-2018,JAIPUR (F & V),LEMON  - नींबू , 2139.00 / QUINTA
,,,,
193,17-Mar-2018,JAIPUR (F & V),MOSAMBI  - मौसंबी , 3071.00 / QUINTA
194,17-Mar-2018,JAIPUR (F & V),OKRA (LADY FINGER)  - भिन्डी , 1764.00 / QUINTA
195,17-Mar-2018,JAIPUR (F & V),ONION  - प्याज , 2275.00 / QUINTA
196,17-Mar-2018,JAIPUR (F & V),ORANGE  - नारंगी , 3413.00 / QUINTA
197,17-Mar-2018,JAIPUR (F & V),PAPAYA  - पपीता , 1419.00 / QUINTA
198,17-Mar-2018,JAIPUR (F & V),POME GRANATE  - अनार , 6163.00 / QUINTA
199,17-Mar-2018,JAIPUR (F & V),POTATO  - आलू , 323.00 / QUINTA
200,17-Mar-2018,JAIPUR (F & V),PUMPKIN  - कद्दू , 588.00 / QUINTA
201,17-Mar-2018,JAIPUR (F & V),SAPOTA  - चीकू , 2548.00 / QUINTA
202,17-Mar-2018,JAIPUR (F & V),SPINACH  - पालक , 546.00 / QUINTA
203,17-Mar-2018,JAIPUR (F & V),TOMATO  - टमाटर , 2852.00 / QUINTA
204,17-Mar-2018,JAIPUR (GRAIN),ARHAR (LOCAL)  - अरहर (स्थानीय) , 4094.00 / QUINTA
